NetFx4ServerFeatures                                        | Enabled                      
NetFx4                                                      | Enabled                      
NetFx4Extended-ASPNET45                                     | Disabled                     
MicrosoftWindowsPowerShellRoot                              | Enabled                      
MicrosoftWindowsPowerShell                                  | Enabled                      
iSCSITargetServer-PowerShell                                | Disabled                     
PKIClient-PSH-Cmdlets                                       | Disabled                     
KeyDistributionService-PSH-Cmdlets                          | Enabled                      
TlsSessionTicketKey-PSH-Cmdlets                             | Enabled                      
Tpm-PSH-Cmdlets                                             | Enabled                      
MicrosoftWindowsPowerShellV2                                | Enabled                      
WindowsPowerShellWebAccess                                  | Disabled                     
DataCenterBridging-LLDP-Tools                               | Disabled                     
Server-Psh-Cmdlets                                          | Enabled                      
MicrosoftWindowsPowerShellISE                               | Enabled                      
RemoteAccessMgmtTools                                       | Disabled                     
RemoteAccessPowerShell                                      | Disabled                     
RasServerAdminTools                                         | Disabled                     
DamgmtTools                                                 | Disabled                     
WSS-Product-Package                                         | Disabled                     
ActiveDirectory-PowerShell                                  | Disabled                     
DirectoryServices-DomainController                          | Disabled                     
DirectoryServices-ISM-Smtp                                  | Disabled                     
HostGuardianService-Package                                 | Disabled                     
DirectoryServices-AdministrativeCenter                      | Disabled                     
RemoteAccess                                                | Disabled                     
RemoteAccessServer                                          | Disabled                     
RasRoutingProtocols                                         | Disabled                     
Web-Application-Proxy                                       | Disabled                     
RightsManagementServices-Role                               | Disabled                     
RightsManagementServices                                    | Disabled                     
RMS-Federation                                              | Disabled                     
RightsManagementServices-AdminTools                         | Disabled                     
IIS-WebServerRole                                           | Disabled                     
IIS-WebServer                                               | Disabled                     
IIS-CommonHttpFeatures                                      | Disabled                     
IIS-Security                                                | Disabled                     
IIS-RequestFiltering                                        | Disabled                     
IIS-StaticContent                                           | Disabled                     
IIS-DefaultDocument                                         | Disabled                     
IIS-DirectoryBrowsing                                       | Disabled                     
IIS-HttpErrors                                              | Disabled                     
IIS-HttpRedirect                                            | Disabled                     
IIS-WebDAV                                                  | Disabled                     
IIS-ApplicationDevelopment                                  | Disabled                     
IIS-WebSockets                                              | Disabled                     
IIS-ApplicationInit                                         | Disabled                     
IIS-NetFxExtensibility                                      | Disabled                     
IIS-NetFxExtensibility45                                    | Disabled                     
IIS-ISAPIExtensions                                         | Disabled                     
IIS-ISAPIFilter                                             | Disabled                     
IIS-ASPNET                                                  | Disabled                     
IIS-ASPNET45                                                | Disabled                     
IIS-ASP                                                     | Disabled                     
IIS-CGI                                                     | Disabled                     
IIS-ServerSideIncludes                                      | Disabled                     
IIS-HealthAndDiagnostics                                    | Disabled                     
IIS-HttpLogging                                             | Disabled                     
IIS-LoggingLibraries                                        | Disabled                     
IIS-RequestMonitor                                          | Disabled                     
IIS-HttpTracing                                             | Disabled                     
IIS-CustomLogging                                           | Disabled                     
IIS-ODBCLogging                                             | Disabled                     
IIS-CertProvider                                            | Disabled                     
IIS-BasicAuthentication                                     | Disabled                     
IIS-WindowsAuthentication                                   | Disabled                     
IIS-DigestAuthentication                                    | Disabled                     
IIS-ClientCertificateMappingAuthentication                  | Disabled                     
IIS-IISCertificateMappingAuthentication                     | Disabled                     
IIS-URLAuthorization                                        | Disabled                     
IIS-IPSecurity                                              | Disabled                     
IIS-Performance                                             | Disabled                     
IIS-HttpCompressionStatic                                   | Disabled                     
IIS-HttpCompressionDynamic                                  | Disabled                     
IIS-WebServerManagementTools                                | Disabled                     
IIS-ManagementConsole                                       | Disabled                     
IIS-LegacySnapIn                                            | Disabled                     
IIS-ManagementScriptingTools                                | Disabled                     
IIS-ManagementService                                       | Disabled                     
IIS-IIS6ManagementCompatibility                             | Disabled                     
IIS-Metabase                                                | Disabled                     
IIS-WMICompatibility                                        | Disabled                     
IIS-LegacyScripts                                           | Disabled                     
IIS-FTPServer                                               | Disabled                     
IIS-FTPSvc                                                  | Disabled                     
IIS-FTPExtensibility                                        | Disabled                     
WAS-WindowsActivationService                                | Disabled                     
WAS-ProcessModel                                            | Disabled                     
WAS-NetFxEnvironment                                        | Disabled                     
