\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319,N/A,Ready
\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64,N/A,Ready
\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical,N/A,Disabled
\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical,N/A,Disabled
\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated),N/A,Disabled
\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated),N/A,Disabled
\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual),N/A,Ready
\Microsoft\Windows\AppID\PolicyConverter,N/A,Disabled
\Microsoft\Windows\AppID\SmartScreenSpecific,N/A,Ready
\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck,N/A,Disabled
\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser,11/1/2019 4:15:03 AM,Ready
\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser,11/1/2019 4:57:45 AM,Ready
\Microsoft\Windows\Application Experience\ProgramDataUpdater,N/A,Ready
\Microsoft\Windows\Application Experience\StartupAppTask,N/A,Ready
\Microsoft\Windows\ApplicationData\appuriverifierdaily,11/1/2019 3:00:00 AM,Ready
\Microsoft\Windows\ApplicationData\appuriverifierinstall,11/2/2019 3:00:00 AM,Ready
\Microsoft\Windows\ApplicationData\appuriverifierinstall,11/2/2019 3:00:00 AM,Ready
\Microsoft\Windows\ApplicationData\CleanupTemporaryState,N/A,Ready
\Microsoft\Windows\ApplicationData\DsSvcCleanup,N/A,Ready
\Microsoft\Windows\AppxDeploymentClient\Pre-staged app cleanup,N/A,Disabled
\Microsoft\Windows\Autochk\Proxy,N/A,Ready
\Microsoft\Windows\Bluetooth\UninstallDeviceTask,N/A,Ready
\Microsoft\Windows\CertificateServicesClient\UserTask,N/A,Ready
\Microsoft\Windows\CertificateServicesClient\UserTask,N/A,Ready
\Microsoft\Windows\CertificateServicesClient\UserTask,N/A,Ready
\Microsoft\Windows\CertificateServicesClient\UserTask-Roam,N/A,Ready
\Microsoft\Windows\CertificateServicesClient\UserTask-Roam,N/A,Ready
\Microsoft\Windows\Chkdsk\ProactiveScan,N/A,Ready
\Microsoft\Windows\CloudExperienceHost\CreateObjectTask,N/A,Ready
\Microsoft\Windows\Customer Experience Improvement Program\Consolidator,11/1/2019 12:00:00 AM,Ready
\Microsoft\Windows\Customer Experience Improvement Program\KernelCeipTask,N/A,Ready
\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip,N/A,Ready
\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan,11/27/2019 10:29:34 PM,Ready
\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan,11/27/2019 6:04:16 AM,Ready
\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan for Crash Recovery,N/A,Ready
\Microsoft\Windows\Defrag\ScheduledDefrag,N/A,Ready
\Microsoft\Windows\Device Information\Device,11/1/2019 4:55:14 AM,Ready
\Microsoft\Windows\Device Information\Device,11/1/2019 4:37:07 AM,Ready
\Microsoft\Windows\Diagnosis\Scheduled,N/A,Ready
\Microsoft\Windows\DiskCleanup\SilentCleanup,N/A,Ready
